['Feb 15, 2020', 'active cases', '7']['Feb 15, 2020', 'new cases', 'null']['Feb 15, 2020', 'new deaths', 'null']['Feb 15, 2020', 'new recoveries', 'null']
['Feb 16, 2020', 'active cases', '7']['Feb 16, 2020', 'new cases', '0']['Feb 16, 2020', 'new deaths', 'null']['Feb 16, 2020', 'new recoveries', '0']
['Feb 17, 2020', 'active cases', '7']['Feb 17, 2020', 'new cases', '0']['Feb 17, 2020', 'new deaths', 'null']['Feb 17, 2020', 'new recoveries', '0']
['Feb 18, 2020', 'active cases', '7']['Feb 18, 2020', 'new cases', '0']['Feb 18, 2020', 'new deaths', 'null']['Feb 18, 2020', 'new recoveries', '0']
['Feb 19, 2020', 'active cases', '7']['Feb 19, 2020', 'new cases', '0']['Feb 19, 2020', 'new deaths', 'null']['Feb 19, 2020', 'new recoveries', '0']
['Feb 20, 2020', 'active cases', '6']['Feb 20, 2020', 'new cases', '0']['Feb 20, 2020', 'new deaths', '0']['Feb 20, 2020', 'new recoveries', '0']
['Feb 21, 2020', 'active cases', '6']['Feb 21, 2020', 'new cases', '1']['Feb 21, 2020', 'new deaths', '0']['Feb 21, 2020', 'new recoveries', '1']
['Feb 22, 2020', 'active cases', '6']['Feb 22, 2020', 'new cases', '0']['Feb 22, 2020', 'new deaths', '0']['Feb 22, 2020', 'new recoveries', '0']
['Feb 23, 2020', 'active cases', '7']['Feb 23, 2020', 'new cases', '1']['Feb 23, 2020', 'new deaths', '0']['Feb 23, 2020', 'new recoveries', '1']
['Feb 24, 2020', 'active cases', '8']['Feb 24, 2020', 'new cases', '1']['Feb 24, 2020', 'new deaths', '0']['Feb 24, 2020', 'new recoveries', '1']
['Feb 25, 2020', 'active cases', '8']['Feb 25, 2020', 'new cases', '0']['Feb 25, 2020', 'new deaths', '0']['Feb 25, 2020', 'new recoveries', '0']
['Feb 26, 2020', 'active cases', '9']['Feb 26, 2020', 'new cases', '1']['Feb 26, 2020', 'new deaths', '0']['Feb 26, 2020', 'new recoveries', '1']
['Feb 27, 2020', 'active cases', '11']['Feb 27, 2020', 'new cases', '2']['Feb 27, 2020', 'new deaths', '0']['Feb 27, 2020', 'new recoveries', '2']
['Feb 28, 2020', 'active cases', '12']['Feb 28, 2020', 'new cases', '1']['Feb 28, 2020', 'new deaths', '0']['Feb 28, 2020', 'new recoveries', '1']
['Feb 29, 2020', 'active cases', '16']['Feb 29, 2020', 'new cases', '5']['Feb 29, 2020', 'new deaths', '0']['Feb 29, 2020', 'new recoveries', '5']
['Mar 01, 2020', 'active cases', '20']['Mar 01, 2020', 'new cases', '4']['Mar 01, 2020', 'new deaths', '0']['Mar 01, 2020', 'new recoveries', '4']
['Mar 02, 2020', 'active cases', '20']['Mar 02, 2020', 'new cases', '3']['Mar 02, 2020', 'new deaths', '0']['Mar 02, 2020', 'new recoveries', '3']
['Mar 03, 2020', 'active cases', '23']['Mar 03, 2020', 'new cases', '3']['Mar 03, 2020', 'new deaths', '0']['Mar 03, 2020', 'new recoveries', '3']
['Mar 04, 2020', 'active cases', '27']['Mar 04, 2020', 'new cases', '4']['Mar 04, 2020', 'new deaths', '0']['Mar 04, 2020', 'new recoveries', '4']
['Mar 05, 2020', 'active cases', '29']['Mar 05, 2020', 'new cases', '3']['Mar 05, 2020', 'new deaths', '0']['Mar 05, 2020', 'new recoveries', '3']
['Mar 06, 2020', 'active cases', '46']['Mar 06, 2020', 'new cases', '17']['Mar 06, 2020', 'new deaths', '0']['Mar 06, 2020', 'new recoveries', '17']
['Mar 07, 2020', 'active cases', '52']['Mar 07, 2020', 'new cases', '6']['Mar 07, 2020', 'new deaths', '0']['Mar 07, 2020', 'new recoveries', '6']
['Mar 08, 2020', 'active cases', '58']['Mar 08, 2020', 'new cases', '6']['Mar 08, 2020', 'new deaths', '0']['Mar 08, 2020', 'new recoveries', '6']
['Mar 09, 2020', 'active cases', '68']['Mar 09, 2020', 'new cases', '11']['Mar 09, 2020', 'new deaths', '1']['Mar 09, 2020', 'new recoveries', '11']
['Mar 10, 2020', 'active cases', '86']['Mar 10, 2020', 'new cases', '18']['Mar 10, 2020', 'new deaths', '0']['Mar 10, 2020', 'new recoveries', '18']
['Mar 11, 2020', 'active cases', '100']['Mar 11, 2020', 'new cases', '15']['Mar 11, 2020', 'new deaths', '0']['Mar 11, 2020', 'new recoveries', '15']
['Mar 12, 2020', 'active cases', '130']['Mar 12, 2020', 'new cases', '32']['Mar 12, 2020', 'new deaths', '0']['Mar 12, 2020', 'new recoveries', '32']
['Mar 13, 2020', 'active cases', '186']['Mar 13, 2020', 'new cases', '56']['Mar 13, 2020', 'new deaths', '0']['Mar 13, 2020', 'new recoveries', '56']
['Mar 14, 2020', 'active cases', '240']['Mar 14, 2020', 'new cases', '54']['Mar 14, 2020', 'new deaths', '0']['Mar 14, 2020', 'new recoveries', '54']
['Mar 15, 2020', 'active cases', '329']['Mar 15, 2020', 'new cases', '89']['Mar 15, 2020', 'new deaths', '0']['Mar 15, 2020', 'new recoveries', '89']
['Mar 16, 2020', 'active cases', '429']['Mar 16, 2020', 'new cases', '100']['Mar 16, 2020', 'new deaths', '0']['Mar 16, 2020', 'new recoveries', '100']
['Mar 17, 2020', 'active cases', '582']['Mar 17, 2020', 'new cases', '157']['Mar 17, 2020', 'new deaths', '3']['Mar 17, 2020', 'new recoveries', '157']
['Mar 18, 2020', 'active cases', '708']['Mar 18, 2020', 'new cases', '129']['Mar 18, 2020', 'new deaths', '3']['Mar 18, 2020', 'new recoveries', '129']
['Mar 19, 2020', 'active cases', '853']['Mar 19, 2020', 'new cases', '146']['Mar 19, 2020', 'new deaths', '1']['Mar 19, 2020', 'new recoveries', '146']
['Mar 20, 2020', 'active cases', '1063']['Mar 20, 2020', 'new cases', '214']['Mar 20, 2020', 'new deaths', '2']['Mar 20, 2020', 'new recoveries', '214']
['Mar 21, 2020', 'active cases', '1303']['Mar 21, 2020', 'new cases', '241']['Mar 21, 2020', 'new deaths', '1']['Mar 21, 2020', 'new recoveries', '241']
['Mar 22, 2020', 'active cases', '1441']['Mar 22, 2020', 'new cases', '142']['Mar 22, 2020', 'new deaths', '4']['Mar 22, 2020', 'new recoveries', '142']
['Mar 23, 2020', 'active cases', '1964']['Mar 23, 2020', 'new cases', '621']['Mar 23, 2020', 'new deaths', '0']['Mar 23, 2020', 'new recoveries', '621']
['Mar 24, 2020', 'active cases', '2662']['Mar 24, 2020', 'new cases', '701']['Mar 24, 2020', 'new deaths', '3']['Mar 24, 2020', 'new recoveries', '701']
['Mar 25, 2020', 'active cases', '3205']['Mar 25, 2020', 'new cases', '617']['Mar 25, 2020', 'new deaths', '1']['Mar 25, 2020', 'new recoveries', '617']
['Mar 26, 2020', 'active cases', '3793']['Mar 26, 2020', 'new cases', '634']['Mar 26, 2020', 'new deaths', '3']['Mar 26, 2020', 'new recoveries', '634']
