['Feb 15, 2020', 'active cases', '-3']['Feb 15, 2020', 'new cases', 'null']['Feb 15, 2020', 'new deaths', 'null']['Feb 15, 2020', 'new recoveries', 'null']
['Feb 16, 2020', 'active cases', '-3']['Feb 16, 2020', 'new cases', '0']['Feb 16, 2020', 'new deaths', '0']['Feb 16, 2020', 'new recoveries', '0']
['Feb 17, 2020', 'active cases', '-4']['Feb 17, 2020', 'new cases', '0']['Feb 17, 2020', 'new deaths', '0']['Feb 17, 2020', 'new recoveries', '0']
['Feb 18, 2020', 'active cases', '-6']['Feb 18, 2020', 'new cases', '0']['Feb 18, 2020', 'new deaths', '0']['Feb 18, 2020', 'new recoveries', '0']
['Feb 19, 2020', 'active cases', '-6']['Feb 19, 2020', 'new cases', '0']['Feb 19, 2020', 'new deaths', '0']['Feb 19, 2020', 'new recoveries', '0']
['Feb 20, 2020', 'active cases', '-6']['Feb 20, 2020', 'new cases', '0']['Feb 20, 2020', 'new deaths', '0']['Feb 20, 2020', 'new recoveries', '0']
['Feb 21, 2020', 'active cases', '-6']['Feb 21, 2020', 'new cases', '0']['Feb 21, 2020', 'new deaths', '0']['Feb 21, 2020', 'new recoveries', '0']
['Feb 22, 2020', 'active cases', '-9']['Feb 22, 2020', 'new cases', '0']['Feb 22, 2020', 'new deaths', '0']['Feb 22, 2020', 'new recoveries', '0']
['Feb 23, 2020', 'active cases', '-9']['Feb 23, 2020', 'new cases', '0']['Feb 23, 2020', 'new deaths', '0']['Feb 23, 2020', 'new recoveries', '0']
['Feb 24, 2020', 'active cases', '-10']['Feb 24, 2020', 'new cases', '0']['Feb 24, 2020', 'new deaths', '0']['Feb 24, 2020', 'new recoveries', '0']
['Feb 25, 2020', 'active cases', '-8']['Feb 25, 2020', 'new cases', '2']['Feb 25, 2020', 'new deaths', '0']['Feb 25, 2020', 'new recoveries', '2']
['Feb 26, 2020', 'active cases', '-4']['Feb 26, 2020', 'new cases', '4']['Feb 26, 2020', 'new deaths', '0']['Feb 26, 2020', 'new recoveries', '4']
['Feb 27, 2020', 'active cases', '15']['Feb 27, 2020', 'new cases', '19']['Feb 27, 2020', 'new deaths', '0']['Feb 27, 2020', 'new recoveries', '19']
['Feb 28, 2020', 'active cases', '33']['Feb 28, 2020', 'new cases', '18']['Feb 28, 2020', 'new deaths', '0']['Feb 28, 2020', 'new recoveries', '18']
['Feb 29, 2020', 'active cases', '71']['Feb 29, 2020', 'new cases', '39']['Feb 29, 2020', 'new deaths', '0']['Feb 29, 2020', 'new recoveries', '39']
['Mar 01, 2020', 'active cases', '98']['Mar 01, 2020', 'new cases', '27']['Mar 01, 2020', 'new deaths', '0']['Mar 01, 2020', 'new recoveries', '27']
['Mar 02, 2020', 'active cases', '154']['Mar 02, 2020', 'new cases', '56']['Mar 02, 2020', 'new deaths', '0']['Mar 02, 2020', 'new recoveries', '56']
['Mar 03, 2020', 'active cases', '174']['Mar 03, 2020', 'new cases', '20']['Mar 03, 2020', 'new deaths', '0']['Mar 03, 2020', 'new recoveries', '20']
['Mar 04, 2020', 'active cases', '241']['Mar 04, 2020', 'new cases', '67']['Mar 04, 2020', 'new deaths', '0']['Mar 04, 2020', 'new recoveries', '67']
['Mar 05, 2020', 'active cases', '367']['Mar 05, 2020', 'new cases', '126']['Mar 05, 2020', 'new deaths', '0']['Mar 05, 2020', 'new recoveries', '126']
['Mar 06, 2020', 'active cases', '576']['Mar 06, 2020', 'new cases', '209']['Mar 06, 2020', 'new deaths', '0']['Mar 06, 2020', 'new recoveries', '209']
['Mar 07, 2020', 'active cases', '840']['Mar 07, 2020', 'new cases', '269']['Mar 07, 2020', 'new deaths', '5']['Mar 07, 2020', 'new recoveries', '269']
['Mar 08, 2020', 'active cases', '1073']['Mar 08, 2020', 'new cases', '236']['Mar 08, 2020', 'new deaths', '3']['Mar 08, 2020', 'new recoveries', '236']
['Mar 09, 2020', 'active cases', '1247']['Mar 09, 2020', 'new cases', '185']['Mar 09, 2020', 'new deaths', '11']['Mar 09, 2020', 'new recoveries', '185']
['Mar 10, 2020', 'active cases', '1582']['Mar 10, 2020', 'new cases', '338']['Mar 10, 2020', 'new deaths', '3']['Mar 10, 2020', 'new recoveries', '338']
['Mar 11, 2020', 'active cases', '2019']['Mar 11, 2020', 'new cases', '452']['Mar 11, 2020', 'new deaths', '15']['Mar 11, 2020', 'new recoveries', '452']
