['Feb 15, 2020', 'active cases', '13']['Feb 15, 2020', 'new cases', 'null']['Feb 15, 2020', 'new deaths', 'null']['Feb 15, 2020', 'new recoveries', 'null']
['Feb 16, 2020', 'active cases', '13']['Feb 16, 2020', 'new cases', '0']['Feb 16, 2020', 'new deaths', 'null']['Feb 16, 2020', 'new recoveries', '0']
['Feb 17, 2020', 'active cases', '9']['Feb 17, 2020', 'new cases', '0']['Feb 17, 2020', 'new deaths', 'null']['Feb 17, 2020', 'new recoveries', '0']
['Feb 18, 2020', 'active cases', '7']['Feb 18, 2020', 'new cases', '0']['Feb 18, 2020', 'new deaths', 'null']['Feb 18, 2020', 'new recoveries', '0']
['Feb 19, 2020', 'active cases', '7']['Feb 19, 2020', 'new cases', '0']['Feb 19, 2020', 'new deaths', 'null']['Feb 19, 2020', 'new recoveries', '0']
['Feb 20, 2020', 'active cases', '3']['Feb 20, 2020', 'new cases', '0']['Feb 20, 2020', 'new deaths', '0']['Feb 20, 2020', 'new recoveries', '0']
['Feb 21, 2020', 'active cases', '2']['Feb 21, 2020', 'new cases', '0']['Feb 21, 2020', 'new deaths', '0']['Feb 21, 2020', 'new recoveries', '0']
['Feb 22, 2020', 'active cases', '2']['Feb 22, 2020', 'new cases', '0']['Feb 22, 2020', 'new deaths', '0']['Feb 22, 2020', 'new recoveries', '0']
['Feb 23, 2020', 'active cases', '2']['Feb 23, 2020', 'new cases', '0']['Feb 23, 2020', 'new deaths', '0']['Feb 23, 2020', 'new recoveries', '0']
['Feb 24, 2020', 'active cases', '2']['Feb 24, 2020', 'new cases', '0']['Feb 24, 2020', 'new deaths', '0']['Feb 24, 2020', 'new recoveries', '0']
['Feb 25, 2020', 'active cases', '3']['Feb 25, 2020', 'new cases', '2']['Feb 25, 2020', 'new deaths', '0']['Feb 25, 2020', 'new recoveries', '2']
['Feb 26, 2020', 'active cases', '11']['Feb 26, 2020', 'new cases', '8']['Feb 26, 2020', 'new deaths', '0']['Feb 26, 2020', 'new recoveries', '8']
['Feb 27, 2020', 'active cases', '32']['Feb 27, 2020', 'new cases', '22']['Feb 27, 2020', 'new deaths', '0']['Feb 27, 2020', 'new recoveries', '22']
['Feb 28, 2020', 'active cases', '58']['Feb 28, 2020', 'new cases', '26']['Feb 28, 2020', 'new deaths', '0']['Feb 28, 2020', 'new recoveries', '26']
['Feb 29, 2020', 'active cases', '63']['Feb 29, 2020', 'new cases', '5']['Feb 29, 2020', 'new deaths', '0']['Feb 29, 2020', 'new recoveries', '5']
['Mar 01, 2020', 'active cases', '114']['Mar 01, 2020', 'new cases', '51']['Mar 01, 2020', 'new deaths', '0']['Mar 01, 2020', 'new recoveries', '51']
['Mar 02, 2020', 'active cases', '149']['Mar 02, 2020', 'new cases', '35']['Mar 02, 2020', 'new deaths', '0']['Mar 02, 2020', 'new recoveries', '35']
['Mar 03, 2020', 'active cases', '187']['Mar 03, 2020', 'new cases', '38']['Mar 03, 2020', 'new deaths', '0']['Mar 03, 2020', 'new recoveries', '38']
['Mar 04, 2020', 'active cases', '246']['Mar 04, 2020', 'new cases', '59']['Mar 04, 2020', 'new deaths', '0']['Mar 04, 2020', 'new recoveries', '59']
['Mar 05, 2020', 'active cases', '528']['Mar 05, 2020', 'new cases', '283']['Mar 05, 2020', 'new deaths', '0']['Mar 05, 2020', 'new recoveries', '283']
['Mar 06, 2020', 'active cases', '652']['Mar 06, 2020', 'new cases', '125']['Mar 06, 2020', 'new deaths', '0']['Mar 06, 2020', 'new recoveries', '125']
