['Feb 15, 2020', 'active cases', '3']['Feb 15, 2020', 'new cases', 'null']['Feb 15, 2020', 'new deaths', 'null']['Feb 15, 2020', 'new recoveries', 'null']
['Feb 16, 2020', 'active cases', '3']['Feb 16, 2020', 'new cases', '0']['Feb 16, 2020', 'new deaths', '0']['Feb 16, 2020', 'new recoveries', '0']
['Feb 17, 2020', 'active cases', '3']['Feb 17, 2020', 'new cases', '0']['Feb 17, 2020', 'new deaths', '0']['Feb 17, 2020', 'new recoveries', '0']
['Feb 18, 2020', 'active cases', '3']['Feb 18, 2020', 'new cases', '0']['Feb 18, 2020', 'new deaths', '0']['Feb 18, 2020', 'new recoveries', '0']
['Feb 19, 2020', 'active cases', '3']['Feb 19, 2020', 'new cases', '0']['Feb 19, 2020', 'new deaths', '0']['Feb 19, 2020', 'new recoveries', '0']
['Feb 20, 2020', 'active cases', '4']['Feb 20, 2020', 'new cases', '1']['Feb 20, 2020', 'new deaths', '0']['Feb 20, 2020', 'new recoveries', '1']
['Feb 21, 2020', 'active cases', '19']['Feb 21, 2020', 'new cases', '17']['Feb 21, 2020', 'new deaths', '1']['Feb 21, 2020', 'new recoveries', '17']
['Feb 22, 2020', 'active cases', '75']['Feb 22, 2020', 'new cases', '58']['Feb 22, 2020', 'new deaths', '1']['Feb 22, 2020', 'new recoveries', '58']
['Feb 23, 2020', 'active cases', '152']['Feb 23, 2020', 'new cases', '78']['Feb 23, 2020', 'new deaths', '1']['Feb 23, 2020', 'new recoveries', '78']
['Feb 24, 2020', 'active cases', '220']['Feb 24, 2020', 'new cases', '72']['Feb 24, 2020', 'new deaths', '4']['Feb 24, 2020', 'new recoveries', '72']
['Feb 25, 2020', 'active cases', '310']['Feb 25, 2020', 'new cases', '94']['Feb 25, 2020', 'new deaths', '4']['Feb 25, 2020', 'new recoveries', '94']
['Feb 26, 2020', 'active cases', '455']['Feb 26, 2020', 'new cases', '147']['Feb 26, 2020', 'new deaths', '1']['Feb 26, 2020', 'new recoveries', '147']
['Feb 27, 2020', 'active cases', '593']['Feb 27, 2020', 'new cases', '185']['Feb 27, 2020', 'new deaths', '5']['Feb 27, 2020', 'new recoveries', '185']
['Feb 28, 2020', 'active cases', '824']['Feb 28, 2020', 'new cases', '236']['Feb 28, 2020', 'new deaths', '4']['Feb 28, 2020', 'new recoveries', '236']
['Feb 29, 2020', 'active cases', '1054']['Feb 29, 2020', 'new cases', '242']['Feb 29, 2020', 'new deaths', '8']['Feb 29, 2020', 'new recoveries', '242']
['Mar 01, 2020', 'active cases', '1586']['Mar 01, 2020', 'new cases', '577']['Mar 01, 2020', 'new deaths', '12']['Mar 01, 2020', 'new recoveries', '577']
['Mar 02, 2020', 'active cases', '1848']['Mar 02, 2020', 'new cases', '339']['Mar 02, 2020', 'new deaths', '11']['Mar 02, 2020', 'new recoveries', '339']
['Mar 03, 2020', 'active cases', '2279']['Mar 03, 2020', 'new cases', '469']['Mar 03, 2020', 'new deaths', '27']['Mar 03, 2020', 'new recoveries', '469']
['Mar 04, 2020', 'active cases', '2726']['Mar 04, 2020', 'new cases', '591']['Mar 04, 2020', 'new deaths', '28']['Mar 04, 2020', 'new recoveries', '591']
['Mar 05, 2020', 'active cases', '3322']['Mar 05, 2020', 'new cases', '775']['Mar 05, 2020', 'new deaths', '41']['Mar 05, 2020', 'new recoveries', '775']
['Mar 06, 2020', 'active cases', '3948']['Mar 06, 2020', 'new cases', '784']['Mar 06, 2020', 'new deaths', '49']['Mar 06, 2020', 'new recoveries', '784']
['Mar 07, 2020', 'active cases', '5102']['Mar 07, 2020', 'new cases', '1256']['Mar 07, 2020', 'new deaths', '36']['Mar 07, 2020', 'new recoveries', '1256']
['Mar 08, 2020', 'active cases', '6440']['Mar 08, 2020', 'new cases', '1505']['Mar 08, 2020', 'new deaths', '134']['Mar 08, 2020', 'new recoveries', '1505']
['Mar 09, 2020', 'active cases', '8052']['Mar 09, 2020', 'new cases', '1811']['Mar 09, 2020', 'new deaths', '97']['Mar 09, 2020', 'new recoveries', '1811']
['Mar 10, 2020', 'active cases', '8585']['Mar 10, 2020', 'new cases', '983']['Mar 10, 2020', 'new deaths', '169']['Mar 10, 2020', 'new recoveries', '983']
['Mar 11, 2020', 'active cases', '10676']['Mar 11, 2020', 'new cases', '2329']['Mar 11, 2020', 'new deaths', '197']['Mar 11, 2020', 'new recoveries', '2329']
['Mar 12, 2020', 'active cases', '12944']['Mar 12, 2020', 'new cases', '2672']['Mar 12, 2020', 'new deaths', '190']['Mar 12, 2020', 'new recoveries', '2672']
['Mar 13, 2020', 'active cases', '15077']['Mar 13, 2020', 'new cases', '2565']['Mar 13, 2020', 'new deaths', '251']['Mar 13, 2020', 'new recoveries', '2565']
['Mar 14, 2020', 'active cases', '17897']['Mar 14, 2020', 'new cases', '3524']['Mar 14, 2020', 'new deaths', '176']['Mar 14, 2020', 'new recoveries', '3524']
['Mar 15, 2020', 'active cases', '20778']['Mar 15, 2020', 'new cases', '3620']['Mar 15, 2020', 'new deaths', '369']['Mar 15, 2020', 'new recoveries', '3620']
['Mar 16, 2020', 'active cases', '23271']['Mar 16, 2020', 'new cases', '3258']['Mar 16, 2020', 'new deaths', '350']['Mar 16, 2020', 'new recoveries', '3258']
['Mar 17, 2020', 'active cases', '26285']['Mar 17, 2020', 'new cases', '3552']['Mar 17, 2020', 'new deaths', '346']['Mar 17, 2020', 'new recoveries', '3552']
['Mar 18, 2020', 'active cases', '28959']['Mar 18, 2020', 'new cases', '4238']['Mar 18, 2020', 'new deaths', '477']['Mar 18, 2020', 'new recoveries', '4238']
['Mar 19, 2020', 'active cases', '33476']['Mar 19, 2020', 'new cases', '5362']['Mar 19, 2020', 'new deaths', '429']['Mar 19, 2020', 'new recoveries', '5362']
['Mar 20, 2020', 'active cases', '38187']['Mar 20, 2020', 'new cases', '6032']['Mar 20, 2020', 'new deaths', '630']['Mar 20, 2020', 'new recoveries', '6032']
['Mar 21, 2020', 'active cases', '43047']['Mar 21, 2020', 'new cases', '6602']['Mar 21, 2020', 'new deaths', '797']['Mar 21, 2020', 'new recoveries', '6602']
['Mar 22, 2020', 'active cases', '47040']['Mar 22, 2020', 'new cases', '5601']['Mar 22, 2020', 'new deaths', '654']['Mar 22, 2020', 'new recoveries', '5601']
['Mar 23, 2020', 'active cases', '50844']['Mar 23, 2020', 'new cases', '4817']['Mar 23, 2020', 'new deaths', '604']['Mar 23, 2020', 'new recoveries', '4817']
['Mar 24, 2020', 'active cases', '54479']['Mar 24, 2020', 'new cases', '5277']['Mar 24, 2020', 'new deaths', '746']['Mar 24, 2020', 'new recoveries', '5277']
['Mar 25, 2020', 'active cases', '57989']['Mar 25, 2020', 'new cases', '5235']['Mar 25, 2020', 'new deaths', '686']['Mar 25, 2020', 'new recoveries', '5235']
['Mar 26, 2020', 'active cases', '62520']['Mar 26, 2020', 'new cases', '6247']['Mar 26, 2020', 'new deaths', '715']['Mar 26, 2020', 'new recoveries', '6247']
['Mar 27, 2020', 'active cases', '66958']['Mar 27, 2020', 'new cases', '5950']['Mar 27, 2020', 'new deaths', '922']['Mar 27, 2020', 'new recoveries', '5950']
['Mar 28, 2020', 'active cases', '70646']['Mar 28, 2020', 'new cases', '6017']['Mar 28, 2020', 'new deaths', '892']['Mar 28, 2020', 'new recoveries', '6017']
['Mar 29, 2020', 'active cases', '74491']['Mar 29, 2020', 'new cases', '5252']['Mar 29, 2020', 'new deaths', '759']['Mar 29, 2020', 'new recoveries', '5252']
['Mar 30, 2020', 'active cases', '76158']['Mar 30, 2020', 'new cases', '4077']['Mar 30, 2020', 'new deaths', '816']['Mar 30, 2020', 'new recoveries', '4077']
['Mar 31, 2020', 'active cases', '78288']['Mar 31, 2020', 'new cases', '4083']['Mar 31, 2020', 'new deaths', '841']['Mar 31, 2020', 'new recoveries', '4083']
['Apr 01, 2020', 'active cases', '81254']['Apr 01, 2020', 'new cases', '4817']['Apr 01, 2020', 'new deaths', '730']['Apr 01, 2020', 'new recoveries', '4817']
['Apr 02, 2020', 'active cases', '83759']['Apr 02, 2020', 'new cases', '4702']['Apr 02, 2020', 'new deaths', '763']['Apr 02, 2020', 'new recoveries', '4702']
['Apr 03, 2020', 'active cases', '86123']['Apr 03, 2020', 'new cases', '4618']['Apr 03, 2020', 'new deaths', '770']['Apr 03, 2020', 'new recoveries', '4618']
['Apr 04, 2020', 'active cases', '89039']['Apr 04, 2020', 'new cases', '4841']['Apr 04, 2020', 'new deaths', '684']['Apr 04, 2020', 'new recoveries', '4841']
['Apr 05, 2020', 'active cases', '92040']['Apr 05, 2020', 'new cases', '4349']['Apr 05, 2020', 'new deaths', '527']['Apr 05, 2020', 'new recoveries', '4349']
['Apr 06, 2020', 'active cases', '94003']['Apr 06, 2020', 'new cases', '3626']['Apr 06, 2020', 'new deaths', '639']['Apr 06, 2020', 'new recoveries', '3626']
['Apr 07, 2020', 'active cases', '94894']['Apr 07, 2020', 'new cases', '3057']['Apr 07, 2020', 'new deaths', '607']['Apr 07, 2020', 'new recoveries', '3057']
['Apr 08, 2020', 'active cases', '96107']['Apr 08, 2020', 'new cases', '3861']['Apr 08, 2020', 'new deaths', '544']['Apr 08, 2020', 'new recoveries', '3861']
['Apr 09, 2020', 'active cases', '97744']['Apr 09, 2020', 'new cases', '4234']['Apr 09, 2020', 'new deaths', '613']['Apr 09, 2020', 'new recoveries', '4234']
['Apr 10, 2020', 'active cases', '99159']['Apr 10, 2020', 'new cases', '3978']['Apr 10, 2020', 'new deaths', '573']['Apr 10, 2020', 'new recoveries', '3978']
['Apr 11, 2020', 'active cases', '101184']['Apr 11, 2020', 'new cases', '4731']['Apr 11, 2020', 'new deaths', '622']['Apr 11, 2020', 'new recoveries', '4731']
['Apr 12, 2020', 'active cases', '103194']['Apr 12, 2020', 'new cases', '4124']['Apr 12, 2020', 'new deaths', '433']['Apr 12, 2020', 'new recoveries', '4124']
['Apr 13, 2020', 'active cases', '104573']['Apr 13, 2020', 'new cases', '3175']['Apr 13, 2020', 'new deaths', '569']['Apr 13, 2020', 'new recoveries', '3175']
['Apr 14, 2020', 'active cases', '105262']['Apr 14, 2020', 'new cases', '2993']['Apr 14, 2020', 'new deaths', '605']['Apr 14, 2020', 'new recoveries', '2993']
['Apr 15, 2020', 'active cases', '106402']['Apr 15, 2020', 'new cases', '2685']['Apr 15, 2020', 'new deaths', '581']['Apr 15, 2020', 'new recoveries', '2685']
['Apr 16, 2020', 'active cases', '107612']['Apr 16, 2020', 'new cases', '3814']['Apr 16, 2020', 'new deaths', '527']['Apr 16, 2020', 'new recoveries', '3814']
['Apr 17, 2020', 'active cases', '107995']['Apr 17, 2020', 'new cases', '3519']['Apr 17, 2020', 'new deaths', '567']['Apr 17, 2020', 'new recoveries', '3519']
['Apr 18, 2020', 'active cases', '108821']['Apr 18, 2020', 'new cases', '3517']['Apr 18, 2020', 'new deaths', '484']['Apr 18, 2020', 'new recoveries', '3517']
['Apr 19, 2020', 'active cases', '109320']['Apr 19, 2020', 'new cases', '3067']['Apr 19, 2020', 'new deaths', '435']['Apr 19, 2020', 'new recoveries', '3067']
['Apr 20, 2020', 'active cases', '109305']['Apr 20, 2020', 'new cases', '2267']['Apr 20, 2020', 'new deaths', '456']['Apr 20, 2020', 'new recoveries', '2267']
['Apr 21, 2020', 'active cases', '108785']['Apr 21, 2020', 'new cases', '2746']['Apr 21, 2020', 'new deaths', '536']['Apr 21, 2020', 'new recoveries', '2746']
['Apr 22, 2020', 'active cases', '108789']['Apr 22, 2020', 'new cases', '3393']['Apr 22, 2020', 'new deaths', '439']['Apr 22, 2020', 'new recoveries', '3393']
['Apr 23, 2020', 'active cases', '107946']['Apr 23, 2020', 'new cases', '2663']['Apr 23, 2020', 'new deaths', '466']['Apr 23, 2020', 'new recoveries', '2663']
['Apr 24, 2020', 'active cases', '107638']['Apr 24, 2020', 'new cases', '3042']['Apr 24, 2020', 'new deaths', '421']['Apr 24, 2020', 'new recoveries', '3042']
['Apr 25, 2020', 'active cases', '106968']['Apr 25, 2020', 'new cases', '2374']['Apr 25, 2020', 'new deaths', '416']['Apr 25, 2020', 'new recoveries', '2374']
['Apr 26, 2020', 'active cases', '107237']['Apr 26, 2020', 'new cases', '2342']['Apr 26, 2020', 'new deaths', '261']['Apr 26, 2020', 'new recoveries', '2342']
['Apr 27, 2020', 'active cases', '106953']['Apr 27, 2020', 'new cases', '1750']['Apr 27, 2020', 'new deaths', '334']['Apr 27, 2020', 'new recoveries', '1750']
['Apr 28, 2020', 'active cases', '106353']['Apr 28, 2020', 'new cases', '2106']['Apr 28, 2020', 'new deaths', '383']['Apr 28, 2020', 'new recoveries', '2106']
['Apr 29, 2020', 'active cases', '105813']['Apr 29, 2020', 'new cases', '2100']['Apr 29, 2020', 'new deaths', '323']['Apr 29, 2020', 'new recoveries', '2100']
['Apr 30, 2020', 'active cases', '102709']['Apr 30, 2020', 'new cases', '1885']['Apr 30, 2020', 'new deaths', '285']['Apr 30, 2020', 'new recoveries', '1885']
['May 01, 2020', 'active cases', '102109']['May 01, 2020', 'new cases', '1980']['May 01, 2020', 'new deaths', '270']['May 01, 2020', 'new recoveries', '1980']
['May 02, 2020', 'active cases', '101878']['May 02, 2020', 'new cases', '1914']['May 02, 2020', 'new deaths', '476']['May 02, 2020', 'new recoveries', '1914']
['May 03, 2020', 'active cases', '101357']['May 03, 2020', 'new cases', '1398']['May 03, 2020', 'new deaths', '175']['May 03, 2020', 'new recoveries', '1398']
['May 04, 2020', 'active cases', '101164']['May 04, 2020', 'new cases', '1231']['May 04, 2020', 'new deaths', '196']['May 04, 2020', 'new recoveries', '1231']
['May 05, 2020', 'active cases', '99652']['May 05, 2020', 'new cases', '1083']['May 05, 2020', 'new deaths', '237']['May 05, 2020', 'new recoveries', '1083']
['May 06, 2020', 'active cases', '92704']['May 06, 2020', 'new cases', '1455']['May 06, 2020', 'new deaths', '370']['May 06, 2020', 'new recoveries', '1455']
['May 07, 2020', 'active cases', '90802']['May 07, 2020', 'new cases', '1411']['May 07, 2020', 'new deaths', '275']['May 07, 2020', 'new recoveries', '1411']
['May 08, 2020', 'active cases', '89141']['May 08, 2020', 'new cases', '1337']['May 08, 2020', 'new deaths', '244']['May 08, 2020', 'new recoveries', '1337']
['May 09, 2020', 'active cases', '86019']['May 09, 2020', 'new cases', '1091']['May 09, 2020', 'new deaths', '195']['May 09, 2020', 'new recoveries', '1091']
['May 10, 2020', 'active cases', '84501']['May 10, 2020', 'new cases', '808']['May 10, 2020', 'new deaths', '166']['May 10, 2020', 'new recoveries', '808']
['May 11, 2020', 'active cases', '83668']['May 11, 2020', 'new cases', '751']['May 11, 2020', 'new deaths', '180']['May 11, 2020', 'new recoveries', '751']
['May 12, 2020', 'active cases', '82449']['May 12, 2020', 'new cases', '1412']['May 12, 2020', 'new deaths', '173']['May 12, 2020', 'new recoveries', '1412']
['May 13, 2020', 'active cases', '79637']['May 13, 2020', 'new cases', '894']['May 13, 2020', 'new deaths', '196']['May 13, 2020', 'new recoveries', '894']
['May 14, 2020', 'active cases', '77619']['May 14, 2020', 'new cases', '999']['May 14, 2020', 'new deaths', '263']['May 14, 2020', 'new recoveries', '999']
['May 15, 2020', 'active cases', '73242']['May 15, 2020', 'new cases', '795']['May 15, 2020', 'new deaths', '243']['May 15, 2020', 'new recoveries', '795']
['May 16, 2020', 'active cases', '71358']['May 16, 2020', 'new cases', '881']['May 16, 2020', 'new deaths', '154']['May 16, 2020', 'new recoveries', '881']
['May 17, 2020', 'active cases', '69520']['May 17, 2020', 'new cases', '680']['May 17, 2020', 'new deaths', '146']['May 17, 2020', 'new recoveries', '680']
['May 18, 2020', 'active cases', '67720']['May 18, 2020', 'new cases', '454']['May 18, 2020', 'new deaths', '99']['May 18, 2020', 'new recoveries', '454']
['May 19, 2020', 'active cases', '66296']['May 19, 2020', 'new cases', '819']['May 19, 2020', 'new deaths', '163']['May 19, 2020', 'new recoveries', '819']
['May 20, 2020', 'active cases', '63916']['May 20, 2020', 'new cases', '670']['May 20, 2020', 'new deaths', '162']['May 20, 2020', 'new recoveries', '670']
['May 21, 2020', 'active cases', '62123']['May 21, 2020', 'new cases', '648']['May 21, 2020', 'new deaths', '157']['May 21, 2020', 'new recoveries', '648']
['May 22, 2020', 'active cases', '60485']['May 22, 2020', 'new cases', '658']['May 22, 2020', 'new deaths', '131']['May 22, 2020', 'new recoveries', '658']
['May 23, 2020', 'active cases', '58915']['May 23, 2020', 'new cases', '675']['May 23, 2020', 'new deaths', '120']['May 23, 2020', 'new recoveries', '675']
['May 24, 2020', 'active cases', '57757']['May 24, 2020', 'new cases', '535']['May 24, 2020', 'new deaths', '50']['May 24, 2020', 'new recoveries', '535']
['May 25, 2020', 'active cases', '56462']['May 25, 2020', 'new cases', '303']['May 25, 2020', 'new deaths', '92']['May 25, 2020', 'new recoveries', '303']
['May 26, 2020', 'active cases', '54101']['May 26, 2020', 'new cases', '400']['May 26, 2020', 'new deaths', '78']['May 26, 2020', 'new recoveries', '400']
['May 27, 2020', 'active cases', '52122']['May 27, 2020', 'new cases', '588']['May 27, 2020', 'new deaths', '118']['May 27, 2020', 'new recoveries', '588']
['May 28, 2020', 'active cases', '49135']['May 28, 2020', 'new cases', '597']['May 28, 2020', 'new deaths', '70']['May 28, 2020', 'new recoveries', '597']
['May 29, 2020', 'active cases', '47323']['May 29, 2020', 'new cases', '520']['May 29, 2020', 'new deaths', '87']['May 29, 2020', 'new recoveries', '520']
['May 30, 2020', 'active cases', '44835']['May 30, 2020', 'new cases', '420']['May 30, 2020', 'new deaths', '112']['May 30, 2020', 'new recoveries', '420']
['May 31, 2020', 'active cases', '43218']['May 31, 2020', 'new cases', '337']['May 31, 2020', 'new deaths', '75']['May 31, 2020', 'new recoveries', '337']
['Jun 01, 2020', 'active cases', '42508']['Jun 01, 2020', 'new cases', '200']['Jun 01, 2020', 'new deaths', '60']['Jun 01, 2020', 'new recoveries', '200']
['Jun 02, 2020', 'active cases', '41034']['Jun 02, 2020', 'new cases', '322']['Jun 02, 2020', 'new deaths', '55']['Jun 02, 2020', 'new recoveries', '322']
['Jun 03, 2020', 'active cases', '40440']['Jun 03, 2020', 'new cases', '325']['Jun 03, 2020', 'new deaths', '71']['Jun 03, 2020', 'new recoveries', '325']
['Jun 04, 2020', 'active cases', '39570']['Jun 04, 2020', 'new cases', '177']['Jun 04, 2020', 'new deaths', '88']['Jun 04, 2020', 'new recoveries', '177']
['Jun 05, 2020', 'active cases', '38116']['Jun 05, 2020', 'new cases', '522']['Jun 05, 2020', 'new deaths', '85']['Jun 05, 2020', 'new recoveries', '522']
['Jun 06, 2020', 'active cases', '37017']['Jun 06, 2020', 'new cases', '273']['Jun 06, 2020', 'new deaths', '72']['Jun 06, 2020', 'new recoveries', '273']
['Jun 07, 2020', 'active cases', '36400']['Jun 07, 2020', 'new cases', '197']['Jun 07, 2020', 'new deaths', '53']['Jun 07, 2020', 'new recoveries', '197']
['Jun 08, 2020', 'active cases', '35869']['Jun 08, 2020', 'new cases', '283']['Jun 08, 2020', 'new deaths', '65']['Jun 08, 2020', 'new recoveries', '283']
['Jun 09, 2020', 'active cases', '34009']['Jun 09, 2020', 'new cases', '286']['Jun 09, 2020', 'new deaths', '79']['Jun 09, 2020', 'new recoveries', '286']
['Jun 10, 2020', 'active cases', '32844']['Jun 10, 2020', 'new cases', '202']['Jun 10, 2020', 'new deaths', '71']['Jun 10, 2020', 'new recoveries', '202']
['Jun 11, 2020', 'active cases', '31772']['Jun 11, 2020', 'new cases', '383']['Jun 11, 2020', 'new deaths', '53']['Jun 11, 2020', 'new recoveries', '383']
['Jun 12, 2020', 'active cases', '30128']['Jun 12, 2020', 'new cases', '163']['Jun 12, 2020', 'new deaths', '56']['Jun 12, 2020', 'new recoveries', '163']
['Jun 13, 2020', 'active cases', '28616']['Jun 13, 2020', 'new cases', '350']['Jun 13, 2020', 'new deaths', '78']['Jun 13, 2020', 'new recoveries', '350']
['Jun 14, 2020', 'active cases', '27403']['Jun 14, 2020', 'new cases', '340']['Jun 14, 2020', 'new deaths', '44']['Jun 14, 2020', 'new recoveries', '340']
['Jun 15, 2020', 'active cases', '27039']['Jun 15, 2020', 'new cases', '304']['Jun 15, 2020', 'new deaths', '26']['Jun 15, 2020', 'new recoveries', '304']
['Jun 16, 2020', 'active cases', '25696']['Jun 16, 2020', 'new cases', '211']['Jun 16, 2020', 'new deaths', '34']['Jun 16, 2020', 'new recoveries', '211']
['Jun 17, 2020', 'active cases', '25054']['Jun 17, 2020', 'new cases', '332']['Jun 17, 2020', 'new deaths', '43']['Jun 17, 2020', 'new recoveries', '332']
['Jun 18, 2020', 'active cases', '24231']['Jun 18, 2020', 'new cases', '335']['Jun 18, 2020', 'new deaths', '66']['Jun 18, 2020', 'new recoveries', '335']
['Jun 19, 2020', 'active cases', '23072']['Jun 19, 2020', 'new cases', '254']['Jun 19, 2020', 'new deaths', '47']['Jun 19, 2020', 'new recoveries', '254']
['Jun 20, 2020', 'active cases', '22743']['Jun 20, 2020', 'new cases', '267']['Jun 20, 2020', 'new deaths', '49']['Jun 20, 2020', 'new recoveries', '267']
['Jun 21, 2020', 'active cases', '22504']['Jun 21, 2020', 'new cases', '226']['Jun 21, 2020', 'new deaths', '24']['Jun 21, 2020', 'new recoveries', '226']
['Jun 22, 2020', 'active cases', '22170']['Jun 22, 2020', 'new cases', '223']['Jun 22, 2020', 'new deaths', '23']['Jun 22, 2020', 'new recoveries', '223']
['Jun 23, 2020', 'active cases', '21103']['Jun 23, 2020', 'new cases', '113']['Jun 23, 2020', 'new deaths', '18']['Jun 23, 2020', 'new recoveries', '113']
['Jun 24, 2020', 'active cases', '20184']['Jun 24, 2020', 'new cases', '190']['Jun 24, 2020', 'new deaths', '30']['Jun 24, 2020', 'new recoveries', '190']
['Jun 25, 2020', 'active cases', '19835']['Jun 25, 2020', 'new cases', '299']['Jun 25, 2020', 'new deaths', '34']['Jun 25, 2020', 'new recoveries', '299']
