['Feb 15, 2020', 'active cases', '0']['Feb 15, 2020', 'new cases', 'null']['Feb 15, 2020', 'new deaths', 'null']['Feb 15, 2020', 'new recoveries', 'null']
['Feb 16, 2020', 'active cases', '0']['Feb 16, 2020', 'new cases', '0']['Feb 16, 2020', 'new deaths', 'null']['Feb 16, 2020', 'new recoveries', '0']
['Feb 17, 2020', 'active cases', '0']['Feb 17, 2020', 'new cases', '0']['Feb 17, 2020', 'new deaths', 'null']['Feb 17, 2020', 'new recoveries', '0']
['Feb 18, 2020', 'active cases', '0']['Feb 18, 2020', 'new cases', '0']['Feb 18, 2020', 'new deaths', 'null']['Feb 18, 2020', 'new recoveries', '0']
['Feb 19, 2020', 'active cases', '0']['Feb 19, 2020', 'new cases', '0']['Feb 19, 2020', 'new deaths', 'null']['Feb 19, 2020', 'new recoveries', '0']
['Feb 20, 2020', 'active cases', '0']['Feb 20, 2020', 'new cases', '0']['Feb 20, 2020', 'new deaths', '0']['Feb 20, 2020', 'new recoveries', '0']
['Feb 21, 2020', 'active cases', '0']['Feb 21, 2020', 'new cases', '0']['Feb 21, 2020', 'new deaths', '0']['Feb 21, 2020', 'new recoveries', '0']
['Feb 22, 2020', 'active cases', '0']['Feb 22, 2020', 'new cases', '0']['Feb 22, 2020', 'new deaths', '0']['Feb 22, 2020', 'new recoveries', '0']
['Feb 23, 2020', 'active cases', '0']['Feb 23, 2020', 'new cases', '0']['Feb 23, 2020', 'new deaths', '0']['Feb 23, 2020', 'new recoveries', '0']
['Feb 24, 2020', 'active cases', '0']['Feb 24, 2020', 'new cases', '0']['Feb 24, 2020', 'new deaths', '0']['Feb 24, 2020', 'new recoveries', '0']
['Feb 25, 2020', 'active cases', '0']['Feb 25, 2020', 'new cases', '0']['Feb 25, 2020', 'new deaths', '0']['Feb 25, 2020', 'new recoveries', '0']
['Feb 26, 2020', 'active cases', '0']['Feb 26, 2020', 'new cases', '0']['Feb 26, 2020', 'new deaths', '0']['Feb 26, 2020', 'new recoveries', '0']
['Feb 27, 2020', 'active cases', '0']['Feb 27, 2020', 'new cases', '0']['Feb 27, 2020', 'new deaths', '0']['Feb 27, 2020', 'new recoveries', '0']
['Feb 28, 2020', 'active cases', '0']['Feb 28, 2020', 'new cases', '0']['Feb 28, 2020', 'new deaths', '0']['Feb 28, 2020', 'new recoveries', '0']
['Feb 29, 2020', 'active cases', '0']['Feb 29, 2020', 'new cases', '0']['Feb 29, 2020', 'new deaths', '0']['Feb 29, 2020', 'new recoveries', '0']
['Mar 01, 2020', 'active cases', '0']['Mar 01, 2020', 'new cases', '0']['Mar 01, 2020', 'new deaths', '0']['Mar 01, 2020', 'new recoveries', '0']
['Mar 02, 2020', 'active cases', '1']['Mar 02, 2020', 'new cases', '1']['Mar 02, 2020', 'new deaths', '0']['Mar 02, 2020', 'new recoveries', '1']
['Mar 03, 2020', 'active cases', '1']['Mar 03, 2020', 'new cases', '0']['Mar 03, 2020', 'new deaths', '0']['Mar 03, 2020', 'new recoveries', '0']
['Mar 04, 2020', 'active cases', '1']['Mar 04, 2020', 'new cases', '0']['Mar 04, 2020', 'new deaths', '0']['Mar 04, 2020', 'new recoveries', '0']
['Mar 05, 2020', 'active cases', '5']['Mar 05, 2020', 'new cases', '4']['Mar 05, 2020', 'new deaths', '0']['Mar 05, 2020', 'new recoveries', '4']
['Mar 06, 2020', 'active cases', '11']['Mar 06, 2020', 'new cases', '6']['Mar 06, 2020', 'new deaths', '0']['Mar 06, 2020', 'new recoveries', '6']
['Mar 07, 2020', 'active cases', '11']['Mar 07, 2020', 'new cases', '1']['Mar 07, 2020', 'new deaths', '0']['Mar 07, 2020', 'new recoveries', '1']
['Mar 08, 2020', 'active cases', '14']['Mar 08, 2020', 'new cases', '3']['Mar 08, 2020', 'new deaths', '0']['Mar 08, 2020', 'new recoveries', '3']
