['Feb 15, 2020', 'active cases', '-3']
['Feb 16, 2020', 'active cases', '-3']
['Feb 17, 2020', 'active cases', '-4']
['Feb 18, 2020', 'active cases', '-6']
['Feb 19, 2020', 'active cases', '-6']
['Feb 20, 2020', 'active cases', '-6']
['Feb 21, 2020', 'active cases', '-6']
['Feb 22, 2020', 'active cases', '-9']
['Feb 23, 2020', 'active cases', '-9']
['Feb 24, 2020', 'active cases', '-10']
['Feb 25, 2020', 'active cases', '-8']
['Feb 26, 2020', 'active cases', '-4']
['Feb 27, 2020', 'active cases', '15']
['Feb 28, 2020', 'active cases', '33']
['Feb 29, 2020', 'active cases', '71']
['Mar 01, 2020', 'active cases', '98']
['Mar 02, 2020', 'active cases', '154']
['Mar 03, 2020', 'active cases', '174']
['Mar 04, 2020', 'active cases', '241']
['Mar 05, 2020', 'active cases', '367']
['Mar 06, 2020', 'active cases', '576']
['Mar 07, 2020', 'active cases', '840']
['Mar 08, 2020', 'active cases', '1073']
['Mar 09, 2020', 'active cases', '1247']
['Mar 10, 2020', 'active cases', '1582']
['Mar 11, 2020', 'active cases', '2019']
['Mar 12, 2020', 'active cases', '2546']
['Mar 13, 2020', 'active cases', '3242']
['Mar 14, 2020', 'active cases', '3991']
['Mar 15, 2020', 'active cases', '4795']
['Mar 16, 2020', 'active cases', '5874']
['Mar 17, 2020', 'active cases', '6254']
['Mar 18, 2020', 'active cases', '7442']
['Mar 19, 2020', 'active cases', '8332']
['Mar 20, 2020', 'active cases', '9431']
['Mar 21, 2020', 'active cases', '10997']
['Mar 22, 2020', 'active cases', '11689']
['Mar 23, 2020', 'active cases', '14991']
['Mar 24, 2020', 'active cases', '15894']
['Mar 25, 2020', 'active cases', '17706']
['Mar 26, 2020', 'active cases', '19857']
['Mar 27, 2020', 'active cases', '22268']
['Mar 28, 2020', 'active cases', '26140']
['Mar 29, 2020', 'active cases', '26708']
['Mar 30, 2020', 'active cases', '29542']
['Mar 31, 2020', 'active cases', '34414']
['Apr 01, 2020', 'active cases', '36833']
['Apr 02, 2020', 'active cases', '35909']
['Apr 03, 2020', 'active cases', '37965']
['Apr 04, 2020', 'active cases', '39360']
['Apr 05, 2020', 'active cases', '39801']
['Apr 06, 2020', 'active cases', '41457']
['Apr 07, 2020', 'active cases', '41386']
['Apr 08, 2020', 'active cases', '42455']
['Apr 09, 2020', 'active cases', '43059']
['Apr 10, 2020', 'active cases', '44293']
['Apr 11, 2020', 'active cases', '45029']
['Apr 12, 2020', 'active cases', '45139']
['Apr 13, 2020', 'active cases', '46461']
['Apr 14, 2020', 'active cases', '49609']
['Apr 15, 2020', 'active cases', '48415']
['Apr 16, 2020', 'active cases', '48206']
['Apr 17, 2020', 'active cases', '46206']
['Apr 18, 2020', 'active cases', '46337']
['Apr 19, 2020', 'active cases', '46061']
['Apr 20, 2020', 'active cases', '46548']
['Apr 21, 2020', 'active cases', '46669']
['Apr 22, 2020', 'active cases', '46311']
['Apr 23, 2020', 'active cases', '45867']
['Apr 24, 2020', 'active cases', '45684']
['Apr 25, 2020', 'active cases', '45611']
['Apr 26, 2020', 'active cases', '45479']
['Apr 27, 2020', 'active cases', '47853']
['Apr 28, 2020', 'active cases', '47494']
['Apr 29, 2020', 'active cases', '47401']
['Apr 30, 2020', 'active cases', '46925']
['May 01, 2020', 'active cases', '46534']
['May 02, 2020', 'active cases', '46758']
['May 03, 2020', 'active cases', '46688']
['May 04, 2020', 'active cases', '46332']
['May 05, 2020', 'active cases', '45666']
['May 06, 2020', 'active cases', '48050']
['May 07, 2020', 'active cases', '47403']
