['Feb 15, 2020', 'new cases', 'null']
['Feb 16, 2020', 'new cases', '0']
['Feb 17, 2020', 'new cases', '0']
['Feb 18, 2020', 'new cases', '0']
['Feb 19, 2020', 'new cases', '0']
['Feb 20, 2020', 'new cases', '0']
['Feb 21, 2020', 'new cases', '0']
['Feb 22, 2020', 'new cases', '0']
['Feb 23, 2020', 'new cases', '0']
['Feb 24, 2020', 'new cases', '0']
['Feb 25, 2020', 'new cases', '2']
['Feb 26, 2020', 'new cases', '4']
['Feb 27, 2020', 'new cases', '19']
['Feb 28, 2020', 'new cases', '18']
['Feb 29, 2020', 'new cases', '39']
['Mar 01, 2020', 'new cases', '27']
['Mar 02, 2020', 'new cases', '56']
['Mar 03, 2020', 'new cases', '20']
['Mar 04, 2020', 'new cases', '67']
['Mar 05, 2020', 'new cases', '126']
['Mar 06, 2020', 'new cases', '209']
['Mar 07, 2020', 'new cases', '269']
['Mar 08, 2020', 'new cases', '236']
['Mar 09, 2020', 'new cases', '185']
['Mar 10, 2020', 'new cases', '338']
['Mar 11, 2020', 'new cases', '452']
['Mar 12, 2020', 'new cases', '540']
['Mar 13, 2020', 'new cases', '714']
['Mar 14, 2020', 'new cases', '761']
['Mar 15, 2020', 'new cases', '840']
['Mar 16, 2020', 'new cases', '1100']
['Mar 17, 2020', 'new cases', '997']
['Mar 18, 2020', 'new cases', '1277']
['Mar 19, 2020', 'new cases', '1691']
['Mar 20, 2020', 'new cases', '1469']
['Mar 21, 2020', 'new cases', '1678']
['Mar 22, 2020', 'new cases', '1417']
['Mar 23, 2020', 'new cases', '3488']
['Mar 24, 2020', 'new cases', '2224']
['Mar 25, 2020', 'new cases', '2662']
['Mar 26, 2020', 'new cases', '3564']
['Mar 27, 2020', 'new cases', '3462']
['Mar 28, 2020', 'new cases', '4191']
['Mar 29, 2020', 'new cases', '2362']
['Mar 30, 2020', 'new cases', '3977']
['Mar 31, 2020', 'new cases', '6887']
['Apr 01, 2020', 'new cases', '4418']
['Apr 02, 2020', 'new cases', '1923']
['Apr 03, 2020', 'new cases', '4755']
['Apr 04, 2020', 'new cases', '3877']
['Apr 05, 2020', 'new cases', '1703']
['Apr 06, 2020', 'new cases', '3555']
['Apr 07, 2020', 'new cases', '3432']
['Apr 08, 2020', 'new cases', '3526']
['Apr 09, 2020', 'new cases', '3895']
['Apr 10, 2020', 'new cases', '3946']
['Apr 11, 2020', 'new cases', '2829']
['Apr 12, 2020', 'new cases', '1466']
['Apr 13, 2020', 'new cases', '2428']
['Apr 14, 2020', 'new cases', '4996']
['Apr 15, 2020', 'new cases', '2393']
['Apr 16, 2020', 'new cases', '2400']
['Apr 17, 2020', 'new cases', '368']
['Apr 18, 2020', 'new cases', '2335']
['Apr 19, 2020', 'new cases', '714']
['Apr 20, 2020', 'new cases', '1864']
['Apr 21, 2020', 'new cases', '2423']
['Apr 22, 2020', 'new cases', '1661']
['Apr 23, 2020', 'new cases', '1502']
['Apr 24, 2020', 'new cases', '1611']
['Apr 25, 2020', 'new cases', '1397']
['Apr 26, 2020', 'new cases', '419']
['Apr 27, 2020', 'new cases', '3420']
['Apr 28, 2020', 'new cases', '1381']
['Apr 29, 2020', 'new cases', '1675']
['Apr 30, 2020', 'new cases', '1061']
['May 01, 2020', 'new cases', '563']
['May 02, 2020', 'new cases', '740']
['May 03, 2020', 'new cases', '287']
['May 04, 2020', 'new cases', '537']
['May 05, 2020', 'new cases', '1029']
['May 06, 2020', 'new cases', '3898']
['May 07, 2020', 'new cases', '586']
['May 08, 2020', 'new cases', '598']
['May 09, 2020', 'new cases', '403']
['May 10, 2020', 'new cases', '195']
['May 11, 2020', 'new cases', '425']
['May 12, 2020', 'new cases', '659']
['May 13, 2020', 'new cases', '473']
['May 14, 2020', 'new cases', '580']
['May 15, 2020', 'new cases', '524']
['May 16, 2020', 'new cases', '347']
['May 17, 2020', 'new cases', '112']
['May 18, 2020', 'new cases', '459']
['May 19, 2020', 'new cases', '489']
['May 20, 2020', 'new cases', '389']
['May 21, 2020', 'new cases', '296']
['May 22, 2020', 'new cases', '366']
['May 23, 2020', 'new cases', '233']
['May 24, 2020', 'new cases', '107']
['May 25, 2020', 'new cases', '334']
['May 26, 2020', 'new cases', '257']
['May 27, 2020', 'new cases', '178']
['May 28, 2020', 'new cases', '3098']
['May 29, 2020', 'new cases', '556']
['May 30, 2020', 'new cases', '1703']
['May 31, 2020', 'new cases', '239']
['Jun 01, 2020', 'new cases', '315']
['Jun 02, 2020', 'new cases', '283']
['Jun 03, 2020', 'new cases', '330']
['Jun 04, 2020', 'new cases', '720']
['Jun 05, 2020', 'new cases', '573']
['Jun 06, 2020', 'new cases', '543']
['Jun 07, 2020', 'new cases', '322']
['Jun 08, 2020', 'new cases', '198']
['Jun 09, 2020', 'new cases', '378']
['Jun 10, 2020', 'new cases', '511']
['Jun 11, 2020', 'new cases', '399']
['Jun 12, 2020', 'new cases', '681']
['Jun 13, 2020', 'new cases', '494']
['Jun 14, 2020', 'new cases', '382']
['Jun 15, 2020', 'new cases', '143']
['Jun 16, 2020', 'new cases', '323']
['Jun 17, 2020', 'new cases', '430']
['Jun 18, 2020', 'new cases', '438']
['Jun 19, 2020', 'new cases', '761']
['Jun 20, 2020', 'new cases', '602']
['Jun 21, 2020', 'new cases', '267']
['Jun 22, 2020', 'new cases', '350']
['Jun 23, 2020', 'new cases', '485']
['Jun 24, 2020', 'new cases', '76']
['Jun 25, 2020', 'new cases', '0']
['Jun 26, 2020', 'new cases', '1490']
['Jun 27, 2020', 'new cases', '490']
['Jun 28, 2020', 'new cases', '490']
['Jun 29, 2020', 'new cases', '263']
['Jun 30, 2020', 'new cases', '508']
['Jul 01, 2020', 'new cases', '861']
['Jul 02, 2020', 'new cases', '618']
['Jul 03, 2020', 'new cases', '546']
['Jul 04, 2020', 'new cases', '526']
['Jul 05, 2020', 'new cases', '600']
['Jul 06, 2020', 'new cases', '165']
['Jul 07, 2020', 'new cases', '446']
['Jul 08, 2020', 'new cases', '622']
['Jul 09, 2020', 'new cases', '583']
['Jul 10, 2020', 'new cases', '617']
['Jul 11, 2020', 'new cases', '628']
['Jul 12, 2020', 'new cases', '627']
['Jul 13, 2020', 'new cases', '270']
['Jul 14, 2020', 'new cases', '480']
['Jul 15, 2020', 'new cases', '390']
['Jul 16, 2020', 'new cases', '501']
['Jul 17, 2020', 'new cases', '785']
['Jul 18, 2020', 'new cases', '812']
['Jul 19, 2020', 'new cases', '812']
['Jul 20, 2020', 'new cases', '328']
['Jul 21, 2020', 'new cases', '548']
['Jul 22, 2020', 'new cases', '937']
['Jul 23, 2020', 'new cases', '997']
['Jul 24, 2020', 'new cases', '1060']
['Jul 25, 2020', 'new cases', '956']
['Jul 26, 2020', 'new cases', '955']
['Jul 27, 2020', 'new cases', '482']
['Jul 28, 2020', 'new cases', '680']
['Jul 29, 2020', 'new cases', '1306']
['Jul 30, 2020', 'new cases', '1292']
['Jul 31, 2020', 'new cases', '1263']
['Aug 01, 2020', 'new cases', '0']
['Aug 02, 2020', 'new cases', '2646']
['Aug 03, 2020', 'new cases', '522']
['Aug 04, 2020', 'new cases', '975']
['Aug 05, 2020', 'new cases', '1591']
['Aug 06, 2020', 'new cases', '1505']
['Aug 07, 2020', 'new cases', '2147']
['Aug 08, 2020', 'new cases', '1910']
['Aug 09, 2020', 'new cases', '1909']
['Aug 10, 2020', 'new cases', '737']
['Aug 11, 2020', 'new cases', '1311']
['Aug 12, 2020', 'new cases', '2369']
['Aug 13, 2020', 'new cases', '2505']
['Aug 14, 2020', 'new cases', '2671']
['Aug 15, 2020', 'new cases', '3106']
['Aug 16, 2020', 'new cases', '2829']
['Aug 17, 2020', 'new cases', '463']
['Aug 18, 2020', 'new cases', '2100']
['Aug 19, 2020', 'new cases', '3544']
['Aug 20, 2020', 'new cases', '4477']
['Aug 21, 2020', 'new cases', '4304']
['Aug 22, 2020', 'new cases', '3380']
['Aug 23, 2020', 'new cases', '4596']
['Aug 24, 2020', 'new cases', '1835']
['Aug 25, 2020', 'new cases', '3101']
['Aug 26, 2020', 'new cases', '5095']
['Aug 27, 2020', 'new cases', '5735']
['Aug 28, 2020', 'new cases', '6925']
['Aug 29, 2020', 'new cases', '5117']
['Aug 30, 2020', 'new cases', '5080']
['Aug 31, 2020', 'new cases', '2892']
['Sep 01, 2020', 'new cases', '4675']
['Sep 02, 2020', 'new cases', '6585']
['Sep 03, 2020', 'new cases', '6716']
['Sep 04, 2020', 'new cases', '8423']
['Sep 05, 2020', 'new cases', '8024']
['Sep 06, 2020', 'new cases', '6636']
['Sep 07, 2020', 'new cases', '3944']
['Sep 08, 2020', 'new cases', '6141']
['Sep 09, 2020', 'new cases', '8049']
['Sep 10, 2020', 'new cases', '9237']
['Sep 11, 2020', 'new cases', '8827']
['Sep 12, 2020', 'new cases', '9911']
['Sep 13, 2020', 'new cases', '6741']
['Sep 14, 2020', 'new cases', '5779']
['Sep 15, 2020', 'new cases', '7369']
['Sep 16, 2020', 'new cases', '9182']
['Sep 17, 2020', 'new cases', '9941']
['Sep 18, 2020', 'new cases', '12402']
['Sep 19, 2020', 'new cases', '12667']
['Sep 20, 2020', 'new cases', '9918']
['Sep 21, 2020', 'new cases', '4972']
['Sep 22, 2020', 'new cases', '9392']
['Sep 23, 2020', 'new cases', '12267']
['Sep 24, 2020', 'new cases', '15105']
['Sep 25, 2020', 'new cases', '14825']
['Sep 26, 2020', 'new cases', '13525']
['Sep 27, 2020', 'new cases', '10438']
['Sep 28, 2020', 'new cases', '3819']
['Sep 29, 2020', 'new cases', '7555']
['Sep 30, 2020', 'new cases', '12054']
['Oct 01, 2020', 'new cases', '13110']
['Oct 02, 2020', 'new cases', '11400']
['Oct 03, 2020', 'new cases', '15927']
['Oct 04, 2020', 'new cases', '11792']
['Oct 05, 2020', 'new cases', '4771']
['Oct 06, 2020', 'new cases', '9843']
['Oct 07, 2020', 'new cases', '17592']
['Oct 08, 2020', 'new cases', '17013']
['Oct 09, 2020', 'new cases', '19087']
['Oct 10, 2020', 'new cases', '25240']
['Oct 11, 2020', 'new cases', '15110']
['Oct 12, 2020', 'new cases', '7981']
['Oct 13, 2020', 'new cases', '12193']
['Oct 14, 2020', 'new cases', '21200']
['Oct 15, 2020', 'new cases', '28736']
['Oct 16, 2020', 'new cases', '23542']
['Oct 17, 2020', 'new cases', '30431']
['Oct 18, 2020', 'new cases', '28000']
['Oct 19, 2020', 'new cases', '12428']
['Oct 20, 2020', 'new cases', '19208']
['Oct 21, 2020', 'new cases', '25034']
['Oct 22, 2020', 'new cases', '39060']
['Oct 23, 2020', 'new cases', '39445']
['Oct 24, 2020', 'new cases', '42626']
['Oct 25, 2020', 'new cases', '48808']
['Oct 26, 2020', 'new cases', '25123']
['Oct 27, 2020', 'new cases', '31360']
['Oct 28, 2020', 'new cases', '34194']
['Oct 29, 2020', 'new cases', '44705']
['Oct 30, 2020', 'new cases', '46185']
['Oct 31, 2020', 'new cases', '33447']
['Nov 01, 2020', 'new cases', '45258']
['Nov 02, 2020', 'new cases', '51104']
['Nov 03, 2020', 'new cases', '35912']
['Nov 04, 2020', 'new cases', '39880']
['Nov 05, 2020', 'new cases', '56292']
['Nov 06, 2020', 'new cases', '58581']
['Nov 07, 2020', 'new cases', '83324']
['Nov 08, 2020', 'new cases', '38059']
['Nov 09, 2020', 'new cases', '20732']
['Nov 10, 2020', 'new cases', '22632']
['Nov 11, 2020', 'new cases', '35488']
['Nov 12, 2020', 'new cases', '32948']
['Nov 13, 2020', 'new cases', '24147']
['Nov 14, 2020', 'new cases', '31937']
['Nov 15, 2020', 'new cases', '27370']
['Nov 16, 2020', 'new cases', '10645']
['Nov 17, 2020', 'new cases', '13630']
['Nov 18, 2020', 'new cases', '26636']
['Nov 19, 2020', 'new cases', '19848']
['Nov 20, 2020', 'new cases', '21473']
['Nov 21, 2020', 'new cases', '16780']
['Nov 22, 2020', 'new cases', '12347']
['Nov 23, 2020', 'new cases', '4178']
['Nov 24, 2020', 'new cases', '8591']
['Nov 25, 2020', 'new cases', '15280']
['Nov 26, 2020', 'new cases', '12728']
['Nov 27, 2020', 'new cases', '11692']
['Nov 28, 2020', 'new cases', '11806']
['Nov 29, 2020', 'new cases', '9182']
['Nov 30, 2020', 'new cases', '3758']
['Dec 01, 2020', 'new cases', '7585']
['Dec 02, 2020', 'new cases', '13198']
['Dec 03, 2020', 'new cases', '11914']
['Dec 04, 2020', 'new cases', '10530']
['Dec 05, 2020', 'new cases', '12127']
['Dec 06, 2020', 'new cases', '10344']
['Dec 07, 2020', 'new cases', '3201']
['Dec 08, 2020', 'new cases', '12869']
['Dec 09, 2020', 'new cases', '13697']
['Dec 10, 2020', 'new cases', '12904']
['Dec 11, 2020', 'new cases', '12581']
['Dec 12, 2020', 'new cases', '13088']
['Dec 13, 2020', 'new cases', '10823']
['Dec 14, 2020', 'new cases', '2874']
['Dec 15, 2020', 'new cases', '10822']
['Dec 16, 2020', 'new cases', '16531']
['Dec 17, 2020', 'new cases', '17130']
['Dec 18, 2020', 'new cases', '14709']
['Dec 19, 2020', 'new cases', '16484']
['Dec 20, 2020', 'new cases', '12011']
['Dec 21, 2020', 'new cases', '5440']
['Dec 22, 2020', 'new cases', '11069']
['Dec 23, 2020', 'new cases', '14010']
['Dec 24, 2020', 'new cases', '20302']
['Dec 25, 2020', 'new cases', '19015']
['Dec 26, 2020', 'new cases', '2903']
['Dec 27, 2020', 'new cases', '8279']
['Dec 28, 2020', 'new cases', '2778']
['Dec 29, 2020', 'new cases', '10694']
['Dec 30, 2020', 'new cases', '24828']
['Dec 31, 2020', 'new cases', '18700']
['Jan 01, 2021', 'new cases', '18157']
['Jan 02, 2021', 'new cases', '3253']
['Jan 03, 2021', 'new cases', '11720']
['Jan 04, 2021', 'new cases', '3774']
['Jan 05, 2021', 'new cases', '19228']
['Jan 06, 2021', 'new cases', '23817']
['Jan 07, 2021', 'new cases', '20367']
['Jan 08, 2021', 'new cases', '18594']
['Jan 09, 2021', 'new cases', '18935']
['Jan 10, 2021', 'new cases', '14963']
['Jan 11, 2021', 'new cases', '3362']
['Jan 12, 2021', 'new cases', '18536']
['Jan 13, 2021', 'new cases', '22384']
['Jan 14, 2021', 'new cases', '19921']
['Jan 15, 2021', 'new cases', '19962']
['Jan 16, 2021', 'new cases', '20088']
['Jan 17, 2021', 'new cases', '15618']
['Jan 18, 2021', 'new cases', '3506']
['Jan 19, 2021', 'new cases', '22155']
['Jan 20, 2021', 'new cases', '25135']
['Jan 21, 2021', 'new cases', '21442']
['Jan 22, 2021', 'new cases', '21858']
['Jan 23, 2021', 'new cases', '22451']
['Jan 24, 2021', 'new cases', '17301']
['Jan 25, 2021', 'new cases', '3979']
['Jan 26, 2021', 'new cases', '20726']
['Jan 27, 2021', 'new cases', '25259']
['Jan 28, 2021', 'new cases', '22307']
['Jan 29, 2021', 'new cases', '21451']
['Jan 30, 2021', 'new cases', '22890']
['Jan 31, 2021', 'new cases', '18051']
['Feb 01, 2021', 'new cases', '4079']
['Feb 02, 2021', 'new cases', '21900']
['Feb 03, 2021', 'new cases', '24739']
['Feb 04, 2021', 'new cases', '22005']
['Feb 05, 2021', 'new cases', '20776']
['Feb 06, 2021', 'new cases', '19319']
['Feb 07, 2021', 'new cases', '18501']
['Feb 08, 2021', 'new cases', '4051']
['Feb 09, 2021', 'new cases', '17708']
['Feb 10, 2021', 'new cases', '23824']
['Feb 11, 2021', 'new cases', '19766']
['Feb 12, 2021', 'new cases', '19427']
['Feb 13, 2021', 'new cases', '19924']
['Feb 14, 2021', 'new cases', '15527']
['Feb 15, 2021', 'new cases', '4107']
['Feb 16, 2021', 'new cases', '18384']
['Feb 17, 2021', 'new cases', '23478']
['Feb 18, 2021', 'new cases', '21116']
