['Feb 15, 2020', 'new deaths', 'null']
['Feb 16, 2020', 'new deaths', '0']
['Feb 17, 2020', 'new deaths', '0']
['Feb 18, 2020', 'new deaths', '0']
['Feb 19, 2020', 'new deaths', '0']
['Feb 20, 2020', 'new deaths', '0']
['Feb 21, 2020', 'new deaths', '0']
['Feb 22, 2020', 'new deaths', '0']
['Feb 23, 2020', 'new deaths', '0']
['Feb 24, 2020', 'new deaths', '0']
['Feb 25, 2020', 'new deaths', '0']
['Feb 26, 2020', 'new deaths', '0']
['Feb 27, 2020', 'new deaths', '0']
['Feb 28, 2020', 'new deaths', '0']
['Feb 29, 2020', 'new deaths', '0']
['Mar 01, 2020', 'new deaths', '0']
['Mar 02, 2020', 'new deaths', '0']
['Mar 03, 2020', 'new deaths', '0']
['Mar 04, 2020', 'new deaths', '0']
['Mar 05, 2020', 'new deaths', '0']
['Mar 06, 2020', 'new deaths', '0']
['Mar 07, 2020', 'new deaths', '5']
['Mar 08, 2020', 'new deaths', '3']
['Mar 09, 2020', 'new deaths', '11']
['Mar 10, 2020', 'new deaths', '3']
['Mar 11, 2020', 'new deaths', '15']
['Mar 12, 2020', 'new deaths', '13']
['Mar 13, 2020', 'new deaths', '18']
['Mar 14, 2020', 'new deaths', '12']
['Mar 15, 2020', 'new deaths', '36']
['Mar 16, 2020', 'new deaths', '21']
['Mar 17, 2020', 'new deaths', '27']
['Mar 18, 2020', 'new deaths', '89']
['Mar 19, 2020', 'new deaths', '108']
['Mar 20, 2020', 'new deaths', '78']
['Mar 21, 2020', 'new deaths', '112']
['Mar 22, 2020', 'new deaths', '112']
['Mar 23, 2020', 'new deaths', '186']
['Mar 24, 2020', 'new deaths', '240']
['Mar 25, 2020', 'new deaths', '231']
['Mar 26, 2020', 'new deaths', '365']
['Mar 27, 2020', 'new deaths', '299']
['Mar 28, 2020', 'new deaths', '319']
['Mar 29, 2020', 'new deaths', '292']
['Mar 30, 2020', 'new deaths', '418']
['Mar 31, 2020', 'new deaths', '498']
['Apr 01, 2020', 'new deaths', '508']
['Apr 02, 2020', 'new deaths', '1354']
['Apr 03, 2020', 'new deaths', '1119']
['Apr 04, 2020', 'new deaths', '1052']
['Apr 05, 2020', 'new deaths', '517']
['Apr 06, 2020', 'new deaths', '832']
['Apr 07, 2020', 'new deaths', '1416']
['Apr 08, 2020', 'new deaths', '540']
['Apr 09, 2020', 'new deaths', '1339']
['Apr 10, 2020', 'new deaths', '986']
['Apr 11, 2020', 'new deaths', '634']
['Apr 12, 2020', 'new deaths', '561']
['Apr 13, 2020', 'new deaths', '574']
['Apr 14, 2020', 'new deaths', '761']
['Apr 15, 2020', 'new deaths', '1437']
['Apr 16, 2020', 'new deaths', '752']
['Apr 17, 2020', 'new deaths', '760']
['Apr 18, 2020', 'new deaths', '641']
['Apr 19, 2020', 'new deaths', '395']
['Apr 20, 2020', 'new deaths', '546']
['Apr 21, 2020', 'new deaths', '530']
['Apr 22, 2020', 'new deaths', '543']
['Apr 23, 2020', 'new deaths', '515']
['Apr 24, 2020', 'new deaths', '389']
['Apr 25, 2020', 'new deaths', '369']
['Apr 26, 2020', 'new deaths', '242']
['Apr 27, 2020', 'new deaths', '436']
['Apr 28, 2020', 'new deaths', '367']
['Apr 29, 2020', 'new deaths', '426']
['Apr 30, 2020', 'new deaths', '289']
['May 01, 2020', 'new deaths', '218']
['May 02, 2020', 'new deaths', '166']
['May 03, 2020', 'new deaths', '135']
['May 04, 2020', 'new deaths', '306']
['May 05, 2020', 'new deaths', '330']
['May 06, 2020', 'new deaths', '278']
