['Feb 15, 2020', 'new recoveries', 'null']
['Feb 16, 2020', 'new recoveries', '0']
['Feb 17, 2020', 'new recoveries', '0']
['Feb 18, 2020', 'new recoveries', '0']
['Feb 19, 2020', 'new recoveries', '0']
['Feb 20, 2020', 'new recoveries', '0']
['Feb 21, 2020', 'new recoveries', '0']
['Feb 22, 2020', 'new recoveries', '0']
['Feb 23, 2020', 'new recoveries', '0']
['Feb 24, 2020', 'new recoveries', '0']
['Feb 25, 2020', 'new recoveries', '2']
['Feb 26, 2020', 'new recoveries', '4']
['Feb 27, 2020', 'new recoveries', '19']
['Feb 28, 2020', 'new recoveries', '18']
['Feb 29, 2020', 'new recoveries', '39']
['Mar 01, 2020', 'new recoveries', '27']
['Mar 02, 2020', 'new recoveries', '56']
['Mar 03, 2020', 'new recoveries', '20']
['Mar 04, 2020', 'new recoveries', '67']
['Mar 05, 2020', 'new recoveries', '126']
['Mar 06, 2020', 'new recoveries', '209']
['Mar 07, 2020', 'new recoveries', '269']
['Mar 08, 2020', 'new recoveries', '236']
['Mar 09, 2020', 'new recoveries', '185']
['Mar 10, 2020', 'new recoveries', '338']
['Mar 11, 2020', 'new recoveries', '452']
['Mar 12, 2020', 'new recoveries', '540']
['Mar 13, 2020', 'new recoveries', '714']
['Mar 14, 2020', 'new recoveries', '761']
['Mar 15, 2020', 'new recoveries', '840']
['Mar 16, 2020', 'new recoveries', '1100']
['Mar 17, 2020', 'new recoveries', '997']
['Mar 18, 2020', 'new recoveries', '1277']
['Mar 19, 2020', 'new recoveries', '1691']
['Mar 20, 2020', 'new recoveries', '1469']
['Mar 21, 2020', 'new recoveries', '1678']
['Mar 22, 2020', 'new recoveries', '1417']
['Mar 23, 2020', 'new recoveries', '3488']
['Mar 24, 2020', 'new recoveries', '2224']
['Mar 25, 2020', 'new recoveries', '2662']
['Mar 26, 2020', 'new recoveries', '3564']
['Mar 27, 2020', 'new recoveries', '3462']
['Mar 28, 2020', 'new recoveries', '4191']
['Mar 29, 2020', 'new recoveries', '2362']
['Mar 30, 2020', 'new recoveries', '3977']
['Mar 31, 2020', 'new recoveries', '6887']
['Apr 01, 2020', 'new recoveries', '4418']
['Apr 02, 2020', 'new recoveries', '1923']
['Apr 03, 2020', 'new recoveries', '4755']
['Apr 04, 2020', 'new recoveries', '3877']
['Apr 05, 2020', 'new recoveries', '1703']
['Apr 06, 2020', 'new recoveries', '3555']
['Apr 07, 2020', 'new recoveries', '3432']
['Apr 08, 2020', 'new recoveries', '3526']
['Apr 09, 2020', 'new recoveries', '3895']
['Apr 10, 2020', 'new recoveries', '3946']
['Apr 11, 2020', 'new recoveries', '2829']
['Apr 12, 2020', 'new recoveries', '1466']
['Apr 13, 2020', 'new recoveries', '2428']
['Apr 14, 2020', 'new recoveries', '4996']
['Apr 15, 2020', 'new recoveries', '2393']
['Apr 16, 2020', 'new recoveries', '2400']
['Apr 17, 2020', 'new recoveries', '368']
['Apr 18, 2020', 'new recoveries', '2335']
['Apr 19, 2020', 'new recoveries', '714']
['Apr 20, 2020', 'new recoveries', '1864']
['Apr 21, 2020', 'new recoveries', '2423']
['Apr 22, 2020', 'new recoveries', '1661']
['Apr 23, 2020', 'new recoveries', '1502']
['Apr 24, 2020', 'new recoveries', '1611']
['Apr 25, 2020', 'new recoveries', '1397']
['Apr 26, 2020', 'new recoveries', '419']
['Apr 27, 2020', 'new recoveries', '3420']
['Apr 28, 2020', 'new recoveries', '1381']
['Apr 29, 2020', 'new recoveries', '1675']
['Apr 30, 2020', 'new recoveries', '1061']
['May 01, 2020', 'new recoveries', '563']
['May 02, 2020', 'new recoveries', '740']
['May 03, 2020', 'new recoveries', '287']
['May 04, 2020', 'new recoveries', '537']
['May 05, 2020', 'new recoveries', '1029']
['May 06, 2020', 'new recoveries', '3898']
['May 07, 2020', 'new recoveries', '586']
['May 08, 2020', 'new recoveries', '598']
['May 09, 2020', 'new recoveries', '403']
['May 10, 2020', 'new recoveries', '195']
['May 11, 2020', 'new recoveries', '425']
['May 12, 2020', 'new recoveries', '659']
['May 13, 2020', 'new recoveries', '473']
['May 14, 2020', 'new recoveries', '580']
['May 15, 2020', 'new recoveries', '524']
['May 16, 2020', 'new recoveries', '347']
['May 17, 2020', 'new recoveries', '112']
['May 18, 2020', 'new recoveries', '459']
['May 19, 2020', 'new recoveries', '489']
['May 20, 2020', 'new recoveries', '389']
['May 21, 2020', 'new recoveries', '296']
['May 22, 2020', 'new recoveries', '366']
['May 23, 2020', 'new recoveries', '233']
['May 24, 2020', 'new recoveries', '107']
['May 25, 2020', 'new recoveries', '334']
['May 26, 2020', 'new recoveries', '257']
['May 27, 2020', 'new recoveries', '178']
['May 28, 2020', 'new recoveries', '3098']
['May 29, 2020', 'new recoveries', '556']
['May 30, 2020', 'new recoveries', '1703']
['May 31, 2020', 'new recoveries', '239']
['Jun 01, 2020', 'new recoveries', '315']
['Jun 02, 2020', 'new recoveries', '283']
['Jun 03, 2020', 'new recoveries', '330']
['Jun 04, 2020', 'new recoveries', '720']
['Jun 05, 2020', 'new recoveries', '573']
['Jun 06, 2020', 'new recoveries', '543']
['Jun 07, 2020', 'new recoveries', '322']
['Jun 08, 2020', 'new recoveries', '198']
['Jun 09, 2020', 'new recoveries', '378']
['Jun 10, 2020', 'new recoveries', '511']
['Jun 11, 2020', 'new recoveries', '399']
['Jun 12, 2020', 'new recoveries', '681']
['Jun 13, 2020', 'new recoveries', '494']
['Jun 14, 2020', 'new recoveries', '382']
['Jun 15, 2020', 'new recoveries', '143']
['Jun 16, 2020', 'new recoveries', '323']
['Jun 17, 2020', 'new recoveries', '430']
['Jun 18, 2020', 'new recoveries', '438']
['Jun 19, 2020', 'new recoveries', '761']
['Jun 20, 2020', 'new recoveries', '602']
['Jun 21, 2020', 'new recoveries', '267']
['Jun 22, 2020', 'new recoveries', '350']
['Jun 23, 2020', 'new recoveries', '485']
['Jun 24, 2020', 'new recoveries', '76']
['Jun 25, 2020', 'new recoveries', '0']
['Jun 26, 2020', 'new recoveries', '1490']
['Jun 27, 2020', 'new recoveries', '490']
['Jun 28, 2020', 'new recoveries', '490']
['Jun 29, 2020', 'new recoveries', '263']
['Jun 30, 2020', 'new recoveries', '508']
['Jul 01, 2020', 'new recoveries', '861']
['Jul 02, 2020', 'new recoveries', '618']
['Jul 03, 2020', 'new recoveries', '546']
